timestamp_sec,flight_state,fault_type,fault_motor_health,cf1_X,cf1_Y,cf1_Z,cf1_VelX,cf1_VelY,cf1_VelZ,cf1_Roll,cf1_Pitch,cf1_Yaw,cf1_GyroX,cf1_GyroY,cf1_GyroZ,cf1_Motor1,cf1_Motor2,cf1_Motor3,cf1_Motor4,cf1_targ_x,cf1_targ_y,cf1_targ_z,cf2_X,cf2_Y,cf2_Z,cf2_VelX,cf2_VelY,cf2_VelZ,cf2_Roll,cf2_Pitch,cf2_Yaw,cf2_GyroX,cf2_GyroY,cf2_GyroZ,cf2_Motor1,cf2_Motor2,cf2_Motor3,cf2_Motor4,cf2_targ_x,cf2_targ_y,cf2_targ_z,cf3_X,cf3_Y,cf3_Z,cf3_VelX,cf3_VelY,cf3_VelZ,cf3_Roll,cf3_Pitch,cf3_Yaw,cf3_GyroX,cf3_GyroY,cf3_GyroZ,cf3_Motor1,cf3_Motor2,cf3_Motor3,cf3_Motor4,cf3_targ_x,cf3_targ_y,cf3_targ_z
0.006,TAKEOFF,intermittent,1.0,0.6000080704689026,0.011634145863354206,-0.0008241482428275049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.5,-0.4200570285320282,0.5818041563034058,0.004334981553256512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3000025448675481,0.51961377298239,0.5,-0.45825478434562683,-0.5464245676994324,0.005699401721358299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29999491024331576,-0.5196181808098181,0.5
0.022,TAKEOFF,intermittent,1.0,0.5955098867416382,0.010994329117238522,0.0014585419557988644,-0.0017910279566422105,-0.0011283537605777383,0.003352951956912875,0.3370681703090668,0.22250355780124664,0.19070255756378174,-0.09395474940538406,0.11758916825056076,0.09306193143129349,0.0,0.0,0.0,0.0,0.6,0.0,0.5,-0.4146343469619751,0.5758190155029297,0.0038734993431717157,-0.004795506130903959,0.0011477326042950153,-0.004612854216247797,0.3473418354988098,-1.3433438539505005,0.8157521486282349,0.12480325251817703,0.13696926832199097,-0.08328857272863388,0.0,0.0,0.0,0.0,-0.3000025448675481,0.51961377298239,0.5,-0.45825478434562683,-0.5464245676994324,0.005699401721358299,0.013173826970160007,0.0003706520365085453,-0.00805974006652832,0.11842310428619385,-0.8267343640327454,-1.3963361978530884,-0.03951164707541466,-0.023371173068881035,-0.02401869371533394,0.0,0.0,0.0,0.0,-0.29999491024331576,-0.5196181808098181,0.5
0.036,TAKEOFF,intermittent,1.0,0.5955098867416382,0.010994329117238522,0.0014585419557988644,-0.0014919200912117958,-0.002738132607191801,-0.0007365823839791119,0.34224560856819153,0.21901443600654602,0.22651232779026031,0.12167584896087646,0.17867450416088104,0.2496522068977356,0.0,0.0,0.0,0.0,0.6,0.0,0.5,-0.4146343469619751,0.5758190155029297,0.0038734993431717157,-0.001892166561447084,-0.0060202195309102535,-0.0028567861299961805,0.3880801200866699,-1.3565137386322021,0.7777065634727478,0.15175946056842804,-0.2808731198310852,0.23584291338920593,0.0,0.0,0.0,0.0,-0.3000025448675481,0.51961377298239,0.5,-0.45825478434562683,-0.5464245676994324,0.005699401721358299,0.013527700677514076,0.0005145854083821177,-0.008676384575664997,0.11720846593379974,-0.8271923065185547,-1.3950769901275635,0.1282094568014145,-0.036564916372299194,0.05812518298625946,0.0,0.0,0.0,0.0,-0.29999491024331576,-0.5196181808098181,0.5
0.056,TAKEOFF,intermittent,1.0,0.5955098867416382,0.010994329117238522,0.0014585419557988644,-0.001740803592838347,-0.0008649819064885378,0.0027020163834095,0.34224560856819153,0.21901443600654602,0.22651232779026031,0.12167584896087646,0.17867450416088104,0.2496522068977356,0.0,0.0,0.0,0.0,0.6,0.0,0.5,-0.4146343469619751,0.5758190155029297,0.0038734993431717157,-0.003030946012586355,-0.00443340465426445,-0.0007470292039215565,0.37260565161705017,-1.34312903881073,0.7787370681762695,0.06291007250547409,0.06511033326387405,-0.1969308853149414,0.0,0.0,0.0,0.0,-0.3000025448675481,0.51961377298239,0.5,-0.45825478434562683,-0.5464245676994324,0.005699401721358299,0.013527700677514076,0.0005145854083821177,-0.008676384575664997,0.11720846593379974,-0.8271923065185547,-1.3950769901275635,0.1282094568014145,-0.036564916372299194,0.05812518298625946,0.0,0.0,0.0,0.0,-0.29999491024331576,-0.5196181808098181,0.5
0.076,TAKEOFF,intermittent,1.0,0.5953458547592163,0.010311486199498177,0.0007426550728268921,-0.0016025806544348598,0.0006198189803399146,0.0059757656417787075,0.324947327375412,0.21591342985630035,0.3194811940193176,-0.12295687198638916,-0.13089695572853088,0.24022991955280304,0.0,0.0,0.0,0.0,0.6,0.0,0.5,-0.4180533289909363,0.5779204964637756,0.003474562196061015,-0.0030847068410366774,-0.004522227216511965,-0.0007656599045731127,0.3749827742576599,-1.3449598550796509,0.7792591452598572,0.01802077144384384,-0.07596325129270554,0.12268176674842834,0.0,0.0,0.0,0.0,-0.3000025448675481,0.51961377298239,0.5,-0.4583285450935364,-0.5481224656105042,0.0059556784108281136,0.007004112470895052,-0.008311516605317593,-0.00406456645578146,0.19215276837348938,-0.77361661195755,-1.4230507612228394,0.15764035284519196,0.28778785467147827,-0.03137243911623955,0.0,0.0,0.0,0.0,-0.29999491024331576,-0.5196181808098181,0.5
0.096,TAKEOFF,intermittent,1.0,0.5953458547592163,0.010311486199498177,0.0007426550728268921,-0.0014306160155683756,-0.0034584482200443745,-0.00041774354758672416,0.35889628529548645,0.21873591840267181,0.3401181399822235,0.175944522023201,-0.262988805770874,0.048812031745910645,0.0,0.0,0.0,0.0,0.6,0.0,0.5,-0.4180533289909363,0.5779204964637756,0.003474562196061015,-0.009804781526327133,0.0014752602437511086,0.005519072525203228,0.32301145792007446,-1.2869387865066528,0.8331923484802246,0.23657266795635223,0.01750948280096054,-0.016820961609482765,0.0,0.0,0.0,0.0,-0.3000025448675481,0.51961377298239,0.5,-0.4583285450935364,-0.5481224656105042,0.0059556784108281136,0.007205689791589975,-0.008506735786795616,-0.0040214406326413155,0.1930227428674698,-0.7744992971420288,-1.423289179801941,0.06947590410709381,-0.008558431640267372,0.08553148061037064,0.0,0.0,0.0,0.0,-0.29999491024331576,-0.5196181808098181,0.5
0.116,TAKEOFF,intermittent,1.0,0.5953458547592163,0.010311486199498177,0.0007426550728268921,-0.0012327898293733597,-0.004777958616614342,-0.0035241683945059776,0.3719537556171417,0.21631240844726562,0.35914453864097595,-0.12219031900167465,-0.2083710879087448,-0.12609905004501343,0.0,0.0,0.0,0.0,0.6,0.0,0.5,-0.4180533289909363,0.5779204964637756,0.003474562196061015,-0.012839646078646183,0.005128424149006605,0.010328791104257107,0.2932456433773041,-1.2672457695007324,0.878692090511322,-0.02047453448176384,-0.10851671546697617,0.08502420037984848,0.0,0.0,0.0,0.0,-0.3000025448675481,0.51961377298239,0.5,-0.4583285450935364,-0.5481224656105042,0.0059556784108281136,0.005095779430121183,-0.002146677114069462,-0.0036551670636981726,0.13487613201141357,-0.7546197772026062,-1.4078447818756104,-0.11180143058300018,0.12553425133228302,0.014653262682259083,0.0,0.0,0.0,0.0,-0.29999491024331576,-0.5196181808098181,0.5
0.136,TAKEOFF,intermittent,1.0,0.5953458547592163,0.010311486199498177,0.0007426550728268921,-0.00142086751293391,-0.004260738845914602,-0.0007441907073371112,0.36024799942970276,0.21639375388622284,0.4009639620780945,-0.1656932830810547,0.0711025595664978,-0.3157280683517456,0.0,0.0,0.0,0.0,0.6,0.0,0.5,-0.4180533289909363,0.5779204964637756,0.003474562196061015,0.0005584890604950488,-0.007955615408718586,0.0008608282078057528,0.4062229096889496,-1.3750884532928467,0.8421022295951843,0.06619564443826675,-0.3426394760608673,-0.03115219809114933,0.0,0.0,0.0,0.0,-0.3000025448675481,0.51961377298239,0.5,-0.4583285450935364,-0.5481224656105042,0.0059556784108281136,0.00026776452432386577,-0.0025843451730906963,-0.004474753513932228,0.13425622880458832,-0.7555057406425476,-1.4077765941619873,0.11182993650436401,0.1001601591706276,0.07365041971206665,0.0,0.0,0.0,0.0,-0.29999491024331576,-0.5196181808098181,0.5
0.156,TAKEOFF,intermittent,1.0,0.5953458547592163,0.010311486199498177,0.0007426550728268921,0.012849117629230022,-0.006394966971129179,-0.0011812382144853473,0.3451717793941498,0.11746441572904587,0.36739715933799744,0.075685054063797,0.18831437826156616,0.28328651189804077,0.0,0.0,0.0,0.0,0.6,0.0,0.5,-0.4180533289909363,0.5779204964637756,0.003474562196061015,0.0007053592125885189,-0.007944414392113686,0.0006601916393265128,0.40686312317848206,-1.3724253177642822,0.8430226445198059,0.2634804844856262,-0.2459506392478943,-0.16579867899417877,0.0,0.0,0.0,0.0,-0.3000025448675481,0.51961377298239,0.5,-0.4583285450935364,-0.5481224656105042,0.0059556784108281136,0.002008127747103572,-0.00423980038613081,-0.0032927251886576414,0.1613854318857193,-0.7613682150840759,-1.4297083616256714,0.09910880029201508,-0.41557207703590393,0.026489099487662315,0.0,0.0,0.0,0.0,-0.29999491024331576,-0.5196181808098181,0.5
0.177,TAKEOFF,intermittent,1.0,0.5995877981185913,0.010917826555669308,-0.0003115221334155649,0.01015411876142025,-0.0009892458328977227,-0.001083468203432858,0.3451717793941498,0.11746441572904587,0.36739715933799744,0.075685054063797,0.18831437826156616,0.28328651189804077,0.0,0.0,0.0,0.0,0.6,0.0,0.5,-0.4171784520149231,0.5773446559906006,0.003917509689927101,0.0006303347763605416,-0.008223587647080421,0.0007257207180373371,0.40881481766700745,-1.3739155530929565,0.8419902324676514,0.021335743367671967,-0.20266607403755188,0.08156891167163849,0.0,0.0,0.0,0.0,-0.3000025448675481,0.51961377298239,0.5,-0.4605385661125183,-0.5458548069000244,0.00583605607971549,0.0012931092642247677,-0.0033661702182143927,-0.0033986212220042944,0.14122045040130615,-0.7162892818450928,-1.4820139408111572,0.08693289011716843,0.13047407567501068,0.16005563735961914,0.0,0.0,0.0,0.0,-0.29999491024331576,-0.5196181808098181,0.5
