timestamp_sec,flight_state,fault_type,fault_motor_health,cf1_X,cf1_Y,cf1_Z,cf1_VelX,cf1_VelY,cf1_VelZ,cf1_Roll,cf1_Pitch,cf1_Yaw,cf1_GyroX,cf1_GyroY,cf1_GyroZ,cf1_Motor1,cf1_Motor2,cf1_Motor3,cf1_Motor4,cf1_targ_x,cf1_targ_y,cf1_targ_z,cf2_X,cf2_Y,cf2_Z,cf2_VelX,cf2_VelY,cf2_VelZ,cf2_Roll,cf2_Pitch,cf2_Yaw,cf2_GyroX,cf2_GyroY,cf2_GyroZ,cf2_Motor1,cf2_Motor2,cf2_Motor3,cf2_Motor4,cf2_targ_x,cf2_targ_y,cf2_targ_z,cf3_X,cf3_Y,cf3_Z,cf3_VelX,cf3_VelY,cf3_VelZ,cf3_Roll,cf3_Pitch,cf3_Yaw,cf3_GyroX,cf3_GyroY,cf3_GyroZ,cf3_Motor1,cf3_Motor2,cf3_Motor3,cf3_Motor4,cf3_targ_x,cf3_targ_y,cf3_targ_z
0.009,TAKEOFF,abrupt,1.0,0.6005926728248596,0.0051692333072423935,0.0017610789509490132,0.006796165835112333,-0.011079455725848675,0.006668820045888424,0.4075827896595001,0.2999604344367981,-0.1195877343416214,0.11201919615268707,-0.11219041794538498,0.09351646155118942,0.0,0.0,0.0,0.0,0.6,0.0,0.5,-0.337451308965683,0.6589227318763733,0.002622003201395273,0.016579722985625267,-0.01241202000528574,-0.009769911877810955,-0.2494894564151764,-2.028111219406128,3.465242862701416,-0.05131647363305092,0.42661944031715393,0.01906397193670273,0.0,0.0,0.0,0.0,-0.3000025448675481,0.51961377298239,0.5,-0.3192722499370575,-0.540387749671936,0.007742939051240683,-0.012528748251497746,0.0013723430456593633,0.0014684232883155346,0.19232608377933502,0.5712036490440369,-2.2561440467834473,-0.030756575986742973,-0.1717941164970398,-0.041659075766801834,0.0,0.0,0.0,0.0,-0.29999491024331576,-0.5196181808098181,0.5
0.029,TAKEOFF,abrupt,1.0,0.6005926728248596,0.0051692333072423935,0.0017610789509490132,0.00017311121337115765,0.003095592837780714,0.004524551797658205,0.2915506660938263,0.3547654151916504,-0.07803080976009369,-0.34830090403556824,0.09632150083780289,-0.06313010305166245,0.0,0.0,0.0,0.0,0.6,0.0,0.5,-0.337451308965683,0.6589227318763733,0.002622003201395273,0.015012730844318867,-0.01052315067499876,-0.011858835816383362,-0.27285948395729065,-2.0163726806640625,3.5046730041503906,0.15575292706489563,0.3519614636898041,-0.18356271088123322,0.0,0.0,0.0,0.0,-0.3000025448675481,0.51961377298239,0.5,-0.3192722499370575,-0.540387749671936,0.007742939051240683,-0.012938479892909527,0.00166861352045089,0.001555675407871604,0.19343914091587067,0.5703712701797485,-2.255816698074341,-0.21825510263442993,-0.05977495759725571,-0.15791353583335876,0.0,0.0,0.0,0.0,-0.29999491024331576,-0.5196181808098181,0.5
0.049,TAKEOFF,abrupt,1.0,0.6005926728248596,0.0051692333072423935,0.0017610789509490132,3.21676634484902e-05,0.0031088097020983696,0.004670954309403896,0.2928714156150818,0.35016605257987976,-0.09117289632558823,0.1072620078921318,0.08979171514511108,0.006196712143719196,0.0,0.0,0.0,0.0,0.6,0.0,0.5,-0.337451308965683,0.6589227318763733,0.002622003201395273,0.012033520266413689,-0.006794004701077938,-0.005232074297964573,-0.2731402516365051,-2.0176072120666504,3.504838705062866,-0.028385762125253677,-0.06441882997751236,-0.18636025488376617,0.0,0.0,0.0,0.0,-0.3000025448675481,0.51961377298239,0.5,-0.3192722499370575,-0.540387749671936,0.007742939051240683,-0.01272945199161768,0.0008107606554403901,-0.000436576985521242,0.19963447749614716,0.5656851530075073,-2.3103325366973877,-0.12756949663162231,0.17048430442810059,-0.13802170753479004,0.0,0.0,0.0,0.0,-0.29999491024331576,-0.5196181808098181,0.5
0.069,TAKEOFF,abrupt,1.0,0.6005926728248596,0.0051692333072423935,0.0017610789509490132,0.00017355206364300102,0.002473717788234353,0.003483392531052232,0.3001818060874939,0.34755489230155945,-0.1067611500620842,-0.1498316377401352,0.21559573709964752,0.1123107373714447,37110.0,37645.0,37220.0,37095.0,0.6,0.0,0.5,-0.337451308965683,0.6589227318763733,0.002622003201395273,0.012311163358390331,-0.006665193475782871,-0.005040085408836603,-0.33245331048965454,-1.9863920211791992,3.5728354454040527,-0.16968676447868347,0.07154472172260284,0.12057176232337952,41685.0,36443.0,39924.0,38865.0,-0.3000025448675481,0.51961377298239,0.5,-0.324573814868927,-0.5372873544692993,0.006320522632449865,-0.013288802467286587,0.0008165386971086264,-0.0005890366155654192,0.19963447749614716,0.5656851530075073,-2.3103325366973877,-0.12756949663162231,0.17048430442810059,-0.13802170753479004,0.0,0.0,0.0,0.0,-0.29999491024331576,-0.5196181808098181,0.5
0.089,TAKEOFF,abrupt,1.0,0.6005926728248596,0.0051692333072423935,0.0017610789509490132,0.0001589347521075979,0.0015717113856226206,0.0025571519508957863,0.3059063255786896,0.3469429016113281,-0.1147041767835617,1.0586299896240234,0.1513683944940567,0.4252396523952484,37963.0,38081.0,37825.0,37864.0,0.6,0.0,0.5,-0.3406984806060791,0.6622213125228882,0.0031799727585166693,0.013606994412839413,0.0018019897397607565,0.000287503789877519,-0.3306887149810791,-1.9842865467071533,3.568589925765991,-0.041758567094802856,0.7509283423423767,-0.9868424534797668,41826.0,36769.0,40383.0,39156.0,-0.3000025448675481,0.51961377298239,0.5,-0.324573814868927,-0.5372873544692993,0.006320522632449865,0.009990138001739979,-0.012097279541194439,0.004738199524581432,0.28455400466918945,0.3848820924758911,-2.2269105911254883,0.14377272129058838,-0.6992056965827942,1.5385048389434814,38680.0,41620.0,39482.0,40068.0,-0.29999491024331576,-0.5196181808098181,0.5
0.11,TAKEOFF,abrupt,1.0,0.6003153920173645,0.005937098991125822,0.002174053806811571,-0.0006574047729372978,0.0007772124954499304,0.0024021645076572895,0.26003700494766235,0.3630119562149048,-0.05924530327320099,-2.5249545574188232,-1.1744804382324219,-0.5421314835548401,37299.0,38733.0,39164.0,38363.0,0.6,0.0,0.5,-0.3406984806060791,0.6622213125228882,0.0031799727585166693,0.019749727100133896,0.002341289771720767,-0.0010344722541049123,-0.35739582777023315,-1.961933970451355,3.6173782348632812,0.16071148216724396,-0.6833450794219971,-0.09825201332569122,42992.0,37475.0,41454.0,40141.0,-0.3000025448675481,0.51961377298239,0.5,-0.324573814868927,-0.5372873544692993,0.006320522632449865,0.00864122249186039,-0.013020353391766548,0.004139058757573366,0.28879186511039734,0.3900444805622101,-2.2335851192474365,1.5554200410842896,-0.18652473390102386,-0.8258828520774841,39673.0,42727.0,40658.0,41713.0,-0.29999491024331576,-0.5196181808098181,0.5
0.129,TAKEOFF,abrupt,1.0,0.6003153920173645,0.005937098991125822,0.002174053806811571,-0.0033956305123865604,0.0061262003146111965,0.005892794579267502,0.2616111934185028,0.36025866866111755,-0.0591992549598217,0.22624246776103973,-2.5173563957214355,0.20800048112869263,40570.0,40739.0,36941.0,37080.0,0.6,0.0,0.5,-0.3406984806060791,0.6622213125228882,0.0031799727585166693,0.024157678708434105,0.008114337921142578,0.0036067680921405554,-0.38214194774627686,-1.9465621709823608,3.687316656112671,-0.8872066140174866,-0.3517175018787384,-0.3971259891986847,44163.0,37394.0,41824.0,41629.0,-0.3000025448675481,0.51961377298239,0.5,-0.324573814868927,-0.5372873544692993,0.006320522632449865,0.01740925759077072,-0.017735907807946205,-0.0008122822619043291,0.08066124469041824,0.5252202749252319,-2.180624485015869,0.04119786620140076,2.2990903854370117,0.27441903948783875,42352.0,43327.0,39331.0,43715.0,-0.29999491024331576,-0.5196181808098181,0.5
0.149,TAKEOFF,abrupt,1.0,0.6003153920173645,0.005937098991125822,0.002174053806811571,-0.003805470420047641,0.002713632071390748,0.002310172189027071,0.34033286571502686,0.21379603445529938,-0.21743014454841614,-1.7531596422195435,-1.5147784948349,-8.959525108337402,38263.0,41180.0,39517.0,38863.0,0.6,0.0,0.5,-0.3406984806060791,0.6622213125228882,0.0031799727585166693,0.02924369089305401,0.012398987077176571,0.007052243687212467,-0.3904551565647125,-1.939584732055664,3.6891543865203857,1.2639399766921997,-1.5902414321899414,-0.781285285949707,44311.0,38084.0,42925.0,42139.0,-0.3000025448675481,0.51961377298239,0.5,-0.3227156102657318,-0.5369013547897339,0.005785724148154259,-0.010017157532274723,0.014018313959240913,-0.008268465287983418,0.08069451153278351,0.5139097571372986,-2.181583881378174,-1.2313154935836792,1.9259905815124512,-0.546127200126648,41395.0,44504.0,42875.0,43945.0,-0.29999491024331576,-0.5196181808098181,0.5
0.17,TAKEOFF,abrupt,1.0,0.6003153920173645,0.005937098991125822,0.002174053806811571,0.01230172161012888,-0.005570271052420139,-0.0004823121998924762,0.3462507426738739,0.21713751554489136,-0.4856882691383362,1.9150748252868652,0.5498422384262085,-9.776339530944824,38742.0,41463.0,39285.0,41182.0,0.6,0.0,0.5,-0.3406984806060791,0.6622213125228882,0.0031799727585166693,0.035798393189907074,0.014172807335853577,0.007461972534656525,-0.38857346773147583,-1.9437400102615356,3.6871325969696045,0.6210806369781494,1.001402735710144,1.939440369606018,44933.0,39088.0,44258.0,43056.0,-0.3000025448675481,0.51961377298239,0.5,-0.3227156102657318,-0.5369013547897339,0.005785724148154259,0.0024765690322965384,0.006627858616411686,-0.005945255048573017,0.11651221662759781,0.3880535364151001,-2.1168806552886963,0.22782902419567108,0.8711506724357605,2.585383415222168,42878.0,42592.0,43120.0,46597.0,-0.29999491024331576,-0.5196181808098181,0.5
0.189,TAKEOFF,abrupt,1.0,0.6003153920173645,0.005937098991125822,0.002174053806811571,0.011544729582965374,-0.006722187157720327,-0.002385674975812435,0.25069159269332886,0.28685542941093445,-0.4567013084888458,-10.893937110900879,-12.428913116455078,2.122129201889038,38790.0,40190.0,43083.0,40095.0,0.6,0.0,0.5,-0.3392283320426941,0.6637669205665588,0.004307603929191828,0.042348966002464294,0.015937285497784615,0.007783256005495787,-0.4181126356124878,-1.856889009475708,3.7542550563812256,4.530028343200684,-2.8099069595336914,2.9160237312316895,44933.0,39088.0,44258.0,43056.0,-0.3000025448675481,0.51961377298239,0.5,-0.3227156102657318,-0.5369013547897339,0.005785724148154259,-0.012462211772799492,0.021081967279314995,-0.011795210652053356,-0.029542241245508194,0.46393266320228577,-2.135281801223755,4.830392360687256,-4.299927234649658,2.9582643508911133,42714.0,47991.0,44671.0,42214.0,-0.29999491024331576,-0.5196181808098181,0.5
