timestamp_sec,flight_state,cf1_act_x,cf1_act_y,cf1_act_z,cf1_targ_x,cf1_targ_y,cf1_targ_z,cf2_act_x,cf2_act_y,cf2_act_z,cf2_targ_x,cf2_targ_y,cf2_targ_z,cf3_act_x,cf3_act_y,cf3_act_z,cf3_targ_x,cf3_targ_y,cf3_targ_z
0.009,TAKEOFF,0.5036761164665222,0.006260516121983528,0.0034940883051604033,-0.10054077604011168,-0.2826509372941333,1.0,-0.0038255813997238874,0.0017464892007410526,0.0005124721210449934,0.29505328012025767,0.054254602480128464,1.0,-0.5048169493675232,-0.00937661249190569,0.005006955936551094,-0.19451250408014573,0.22839633481400548,1.0
0.029,TAKEOFF,0.5036761164665222,0.006260516121983528,0.0034940883051604033,-0.09770387942023687,-0.28364405854210273,1.0,-0.0038255813997238874,0.0017464892007410526,0.0005124721210449934,0.2944949000400998,0.057207987644834965,1.0,-0.5048169493675232,-0.00937661249190569,0.005006955936551094,-0.19679102061986276,0.22643607089726836,1.0
0.049,TAKEOFF,0.5036761164665222,0.006260516121983528,0.0034940883051604033,-0.0948887276651882,-0.28459818931623887,1.0,-0.0038255813997238874,0.0017464892007410526,0.0005124721210449934,0.2939136256515099,0.06012304596728351,1.0,-0.5048169493675232,-0.00937661249190569,0.005006955936551094,-0.19902489798632148,0.22447514334895596,1.0
0.069,TAKEOFF,0.5036761164665222,0.006260516121983528,0.0034940883051604033,-0.09204097880845083,-0.2855318865205466,1.0,-0.0038255813997238874,0.0017464892007410526,0.0005124721210449934,0.2932983567215142,0.06305611742297003,1.0,-0.5048169493675232,-0.00937661249190569,0.005006955936551094,-0.20125737791306317,0.22247576909757716,1.0
0.089,TAKEOFF,0.5036761164665222,0.006260516121983528,0.0034940883051604033,-0.08915491784361469,-0.28644615658845607,1.0,-0.0038255813997238874,0.0017464892007410526,0.0005124721210449934,0.2926471073438255,0.0660126545693435,1.0,-0.5031255483627319,-0.007274724543094635,0.005302428267896175,-0.2034921895002106,0.2204335020191132,1.0
0.109,TAKEOFF,0.5031415820121765,0.006529894191771746,0.003757984610274434,-0.08628248687535701,-0.28732443762862186,1.0,-0.003074164502322674,0.0025470235850661993,0.0014299340546131134,0.29197150555214246,0.0689393932785547,1.0,-0.5031255483627319,-0.007274724543094635,0.005302428267896175,-0.20568901867678524,0.2183850443500678,1.0
0.129,TAKEOFF,0.5031415820121765,0.006529894191771746,0.003757984610274434,-0.0834160406134158,-0.2881696794744044,1.0,-0.003074164502322674,0.0025470235850661993,0.0014299340546131134,0.29127028333196114,0.07184442948286995,1.0,-0.5031255483627319,-0.007274724543094635,0.005302428267896175,-0.20785424271854513,0.21632524999153502,1.0
0.149,TAKEOFF,0.5031415820121765,0.006529894191771746,0.003757984610274434,-0.08053404780316582,-0.28898835122619976,1.0,-0.003074164502322674,0.0025470235850661993,0.0014299340546131134,0.29053827746125166,0.07474964434596823,1.0,-0.5031255483627319,-0.007274724543094635,0.005302428267896175,-0.21000422965808563,0.21423870688023214,1.0
0.169,TAKEOFF,0.5031415820121765,0.006529894191771746,0.003757984610274434,-0.07763428144568972,-0.289780810862989,1.0,-0.003074164502322674,0.0025470235850661993,0.0014299340546131134,0.2897746844594469,0.07765714549497665,1.0,-0.5031255483627319,-0.007274724543094635,0.005302428267896175,-0.21214040301375697,0.21212366536801303,1.0
0.189,TAKEOFF,0.5031415820121765,0.006529894191771746,0.003757984610274434,-0.07473634870262984,-0.2905416978380193,1.0,-0.003074164502322674,0.0025470235850661993,0.0014299340546131134,0.28898466553770186,0.08054727235644037,1.0,-0.5026795268058777,-0.006997295189648867,0.005695674102753401,-0.21424831683507184,0.20999442548157954,1.0
0.209,TAKEOFF,0.5020198822021484,0.006305269431322813,0.0008362082880921662,-0.07182127383189779,-0.2912759939046875,1.0,-0.004712412599474192,-0.00036385515704751015,0.0006320569082163274,0.2881630471499695,0.08343894928176206,1.0,-0.5026795268058777,-0.006997295189648867,0.005695674102753401,-0.2163417733180715,0.20783704462292604,1.0
0.229,TAKEOFF,0.5020198822021484,0.006305269431322813,0.0008362082880921662,-0.0689154857633774,-0.29197714948604747,1.0,-0.004712412599474192,-0.00036385515704751015,0.0006320569082163274,0.28731737166117227,0.0863060133577944,1.0,-0.5026795268058777,-0.006997295189648867,0.005695674102753401,-0.21840188589779472,0.2056711361282537,1.0
0.249,TAKEOFF,0.5020198822021484,0.006305269431322813,0.0008362082880921662,-0.0659809468297198,-0.2926542578802736,1.0,-0.004712412599474192,-0.00036385515704751015,0.0006320569082163274,0.286436495264859,0.08918595281984944,1.0,-0.5026795268058777,-0.006997295189648867,0.005695674102753401,-0.220455548435139,0.20346830506042476,1.0
0.269,TAKEOFF,0.5020198822021484,0.006305269431322813,0.0008362082880921662,-0.06305762513125528,-0.2932980325757506,1.0,-0.004712412599474192,-0.00036385515704751015,0.0006320569082163274,0.2855323596562234,0.09203951102189252,1.0,-0.5026795268058777,-0.006997295189648867,0.005695674102753401,-0.222474734524968,0.20125852155385873,1.0
0.289,TAKEOFF,0.5020198822021484,0.006305269431322813,0.0008362082880921662,-0.060122594754007504,-0.2939137179514515,1.0,-0.004712412599474192,-0.00036385515704751015,0.0006320569082163274,0.284598043643695,0.09488916457731854,1.0,-0.5027278661727905,-0.0069334120489656925,0.005612142849713564,-0.22447544888968737,0.19902455337413358,1.0
0.309,TAKEOFF,0.5019792914390564,0.009124199859797955,-0.0014549946645274758,-0.05718015219207235,-0.29450030593412196,1.0,-0.003960990346968174,-0.0011649159714579582,0.0014027480501681566,0.2836348224572748,0.09773068857646619,1.0,-0.5027278661727905,-0.0069334120489656925,0.005612142849713564,-0.22645467026520227,0.19676961735765638,1.0
0.329,TAKEOFF,0.5019792914390564,0.009124199859797955,-0.0014549946645274758,-0.054227206695113925,-0.29505831636143626,1.0,-0.003960990346968174,-0.0011649159714579582,0.0014027480501681566,0.2826416009144263,0.10056701960648017,1.0,-0.5027278661727905,-0.0069334120489656925,0.005612142849713564,-0.22841439421931223,0.19449129675495666,1.0
0.349,TAKEOFF,0.5019792914390564,0.009124199859797955,-0.0014549946645274758,-0.051282632364554645,-0.2955843223477218,1.0,-0.003960990346968174,-0.0011649159714579582,0.0014027480501681566,0.2816248482958127,0.10338009877321885,1.0,-0.5027278661727905,-0.0069334120489656925,0.005612142849713564,-0.2303422159312579,0.1922042235745036,1.0
0.369,TAKEOFF,0.5019792914390564,0.009124199859797955,-0.0014549946645274758,-0.04832053576304546,-0.2960829711813434,1.0,-0.003960990346968174,-0.0011649159714579582,0.0014027480501681566,0.28057564255254186,0.10619467409540016,1.0,-0.5027278661727905,-0.0069334120489656925,0.005612142849713564,-0.23225510678949626,0.18988829708594387,1.0
0.389,TAKEOFF,0.5019792914390564,0.009124199859797955,-0.0014549946645274758,-0.0453459942979689,-0.296553099463028,1.0,-0.003960990346968174,-0.0011649159714579582,0.0014027480501681566,0.2794955148549799,0.10900576670960893,1.0,-0.5027645230293274,-0.008596398867666721,0.00538247637450695,-0.2341495205570109,0.1875473327534197,1.0
0.409,TAKEOFF,0.4991314113140106,0.01511057186871767,0.0006350267212837934,-0.04238387753592143,-0.29699092061041193,1.0,-0.004473727662116289,0.00013482660870067775,0.0030666592065244913,0.27839362070990475,0.11178994564820972,1.0,-0.5027645230293274,-0.008596398867666721,0.00538247637450695,-0.23600974317398318,0.18520097496220286,1.0
0.429,TAKEOFF,0.4991314113140106,0.01511057186871767,0.0006350267212837934,-0.03941824753585851,-0.2973990614665786,1.0,-0.004473727662116289,0.00013482660870067775,0.0030666592065244913,0.2772642660596359,0.11456232699457276,1.0,-0.5027645230293274,-0.008596398867666721,0.00538247637450695,-0.2378460185237773,0.18283673447200643,1.0
0.449,TAKEOFF,0.4991314113140106,0.01511057186871767,0.0006350267212837934,-0.03643041109171587,-0.29777982662982494,1.0,-0.004473727662116289,0.00013482660870067775,0.0030666592065244913,0.2761001001418121,0.11734025183917644,1.0,-0.5027645230293274,-0.008596398867666721,0.00538247637450695,-0.23966968905009609,0.18043957479064912,1.0
0.469,TAKEOFF,0.4991314113140106,0.01511057186871767,0.0006350267212837934,-0.033458129436700915,-0.29812841792522393,1.0,-0.004473727662116289,0.00013482660870067775,0.0030666592065244913,0.2749158482316582,0.12008861890732134,1.0,-0.5027645230293274,-0.008596398867666721,0.00538247637450695,-0.2414577187949572,0.1780397990179032,1.0
0.489,TAKEOFF,0.4991314113140106,0.01511057186871767,0.0006350267212837934,-0.030494081063868795,-0.2984461610074256,1.0,-0.004473727662116289,0.00013482660870067775,0.0030666592065244913,0.2737089976263056,0.12281443163734071,1.0,-0.49960070848464966,-0.007370254024863243,0.013314305804669857,-0.24321491656243668,0.1756317293700855,1.0
0.509,TAKEOFF,0.4935242533683777,0.02003600262105465,0.005355291999876499,-0.027494151756062055,-0.2987374626979593,1.0,-0.004519188776612282,0.002247114898636937,0.015584565699100494,0.2724613076365698,0.12555809747272567,1.0,-0.49960070848464966,-0.007370254024863243,0.013314305804669857,-0.2449671558805076,0.17317936522523425,1.0
0.529,TAKEOFF,0.4935242533683777,0.02003600262105465,0.005355291999876499,-0.024506096652636082,-0.29899741006713026,1.0,-0.004519188776612282,0.002247114898636937,0.015584565699100494,0.27119240111020576,0.1282758027847858,1.0,-0.49960070848464966,-0.007370254024863243,0.013314305804669857,-0.2466863044575696,0.1707216072823451,1.0
0.549,TAKEOFF,0.4935242533683777,0.02003600262105465,0.005355291999876499,-0.02150760177302353,-0.2992280452530695,1.0,-0.004519188776612282,0.002247114898636937,0.015584565699100494,0.26989288960042945,0.13098789311661746,1.0,-0.49960070848464966,-0.007370254024863243,0.013314305804669857,-0.24838528782740582,0.16824015213645271,1.0
0.569,TAKEOFF,0.4935242533683777,0.02003600262105465,0.005355291999876499,-0.018524614409574442,-0.29942751820929314,1.0,-0.004519188776612282,0.002247114898636937,0.015584565699100494,0.2685741445661625,0.13367097243064413,1.0,-0.49960070848464966,-0.007370254024863243,0.013314305804669857,-0.25004953015658804,0.16575654577864965,1.0
0.589,TAKEOFF,0.4935242533683777,0.02003600262105465,0.005355291999876499,-0.015522108504347534,-0.29959817113523785,1.0,-0.004519188776612282,0.002247114898636937,0.015584565699100494,0.2672206813826473,0.13635654528255575,1.0,-0.4936148524284363,-0.002978065051138401,0.02821325697004795,-0.2516985728782997,0.16324162585268268,1.0
0.609,TAKEOFF,0.4814968407154083,0.02211407572031021,0.012347801588475704,-0.012523724099812837,-0.29973847990318453,1.0,-0.004696724005043507,0.002821373287588358,0.031805574893951416,0.2658430001377955,0.13902337673116724,1.0,-0.4936148524284363,-0.002978065051138401,0.02821325697004795,-0.2533192760379826,0.16071510317201795,1.0
0.629,TAKEOFF,0.4814968407154083,0.02211407572031021,0.012347801588475704,-0.009529483389207052,-0.29984861004569424,1.0,-0.004696724005043507,0.002821373287588358,0.031805574893951416,0.26444125528362844,0.1416715303228523,1.0,-0.4936148524284363,-0.002978065051138401,0.02821325697004795,-0.2549117718944213,0.1581770797228426,1.0
0.649,TAKEOFF,0.4814968407154083,0.02211407572031021,0.012347801588475704,-0.006529787058519744,-0.2999289280495804,1.0,-0.004696724005043507,0.002821373287588358,0.031805574893951416,0.2630109645500314,0.14430950255080954,1.0,-0.4936148524284363,-0.002978065051138401,0.02821325697004795,-0.25648117749151167,0.15561942549877153,1.0
0.669,TAKEOFF,0.4814968407154083,0.02211407572031021,0.012347801588475704,-0.0035348014594806495,-0.2999791745749062,1.0,-0.004696724005043507,0.002821373287588358,0.031805574893951416,0.2615569865178959,0.14692835942620883,1.0,-0.4936148524284363,-0.002978065051138401,0.02821325697004795,-0.25802218505841523,0.153050815148698,1.0
0.689,TAKEOFF,0.4814968407154083,0.02211407572031021,0.012347801588475704,-0.0005363521043534514,-0.2999995205436505,1.0,-0.004696724005043507,0.002821373287588358,0.031805574893951416,0.26007538196612945,0.14953526572408218,1.0,-0.48420098423957825,0.004025232512503862,0.045089203864336014,-0.25953902986177596,0.1504642548195689,1.0
0.709,TAKEOFF,0.46413782238960266,0.018852371722459793,0.017785994336009026,0.002477635594910202,-0.29998976869529875,1.0,-0.0059258644469082355,0.0026447707787156105,0.04860374331474304,0.25855994276809113,0.15214057971416248,1.0,-0.48420098423957825,0.004025232512503862,0.045089203864336014,-0.26103757836300134,0.1478491889811369,1.0
0.729,TAKEOFF,0.46413782238960266,0.018852371722459793,0.017785994336009026,0.0054687033884471305,-0.29995015133059894,1.0,-0.0059258644469082355,0.0026447707787156105,0.04860374331474304,0.25703009922706166,0.154711111725457,1.0,-0.48420098423957825,0.004025232512503862,0.045089203864336014,-0.2624988026155088,0.14523903960514253,1.0
0.75,TAKEOFF,0.46413782238960266,0.018852371722459793,0.017785994336009026,0.008465161728337667,-0.29988054461220565,1.0,-0.0059258644469082355,0.0026447707787156105,0.04860374331474304,0.2554715888707138,0.15727131740998732,1.0,-0.48420098423957825,0.004025232512503862,0.045089203864336014,-0.2639367505990514,0.142609227202219,1.0
0.769,TAKEOFF,0.46413782238960266,0.018852371722459793,0.017785994336009026,0.011469995152036859,-0.29978065182932045,1.0,-0.0059258644469082355,0.0026447707787156105,0.04860374331474304,0.25388266247123087,0.15982363309760877,1.0,-0.48420098423957825,0.004025232512503862,0.045089203864336014,-0.2653526576232677,0.1399570187317123,1.0
0.79,TAKEOFF,0.46413782238960266,0.018852371722459793,0.017785994336009026,0.014465174968138234,-0.2996510615918808,1.0,-0.0059258644469082355,0.0026447707787156105,0.04860374331474304,0.25227284412547496,0.16235273978853515,1.0,-0.4779265820980072,0.007531842216849327,0.0584699921309948,-0.2667380190936132,0.13729832180334628,1.0
0.809,TAKEOFF,0.44438719749450684,0.017590075731277466,0.029338648542761803,0.017456803783459852,-0.299491669336003,1.0,-0.005825090687721968,0.004313878249377012,0.0632023811340332,0.25063899197505746,0.16486387021335833,1.0,-0.4779265820980072,0.007531842216849327,0.0584699921309948,-0.26809579575851733,0.13462779912264533,1.0
0.829,TAKEOFF,0.44438719749450684,0.017590075731277466,0.029338648542761803,0.0204647098941672,-0.29930117882986623,1.0,-0.005825090687721968,0.004313878249377012,0.0632023811340332,0.24897006930220958,0.16737354806436092,1.0,-0.4779265820980072,0.007531842216849327,0.0584699921309948,-0.2694347791963768,0.13192763076550593,1.0
0.849,TAKEOFF,0.44438719749450684,0.017590075731277466,0.029338648542761803,0.023449942893375954,-0.29908209605106323,1.0,-0.005825090687721968,0.004313878249377012,0.0632023811340332,0.2472877215506301,0.1698492942884898,1.0,-0.4779265820980072,0.007531842216849327,0.0584699921309948,-0.2707376644440061,0.12923280176257404,1.0
0.869,TAKEOFF,0.44438719749450684,0.017590075731277466,0.029338648542761803,0.02643544195020656,-0.2988330092357557,1.0,-0.005825090687721968,0.004313878249377012,0.0632023811340332,0.24557925651241075,0.17231026890702586,1.0,-0.4779265820980072,0.007531842216849327,0.0584699921309948,-0.27201469846261733,0.1265227403287305,1.0
