timestamp_sec,flight_state,cf1_act_x,cf1_act_y,cf1_act_z,cf1_targ_x,cf1_targ_y,cf1_targ_z,cf2_act_x,cf2_act_y,cf2_act_z,cf2_targ_x,cf2_targ_y,cf2_targ_z,cf3_act_x,cf3_act_y,cf3_act_z,cf3_targ_x,cf3_targ_y,cf3_targ_z,cf4_act_x,cf4_act_y,cf4_act_z,cf4_targ_x,cf4_targ_y,cf4_targ_z,cf5_act_x,cf5_act_y,cf5_act_z,cf5_targ_x,cf5_targ_y,cf5_targ_z
0.007,TAKEOFF,-0.0013646758161485195,-0.0001547779538668692,-0.0015312304021790624,-0.995681543126714,0.06557291974221982,0.5,0.29752233624458313,0.47009825706481934,0.004678862635046244,-0.7155375732374903,-0.45115801502676806,0.5,-0.5017421841621399,0.4477764368057251,0.0002701269113458693,-0.1375280029867248,-0.34440390732569837,0.5,-0.5018299221992493,-0.5467510223388672,0.004707277752459049,0.06044241263825517,0.23830469444121757,0.5,0.22968076169490814,-0.5356740951538086,-0.002285615773871541,0.5908104680108156,0.49168430816902897,0.5
0.027,TAKEOFF,-0.0013646758161485195,-0.0001547779538668692,-0.0015312304021790624,-0.996003221334115,0.06309361636632418,0.5,0.29752233624458313,0.47009825706481934,0.004678862635046244,-0.7132790196387793,-0.45223009605942993,0.5,-0.5017421841621399,0.4477764368057251,0.0002701269113458693,-0.13581046188990686,-0.3425871864666818,0.5,-0.5018299221992493,-0.5467510223388672,0.004707277752459049,0.06163946746205806,0.24049957071282255,0.5,0.2288927286863327,-0.5359023213386536,-0.002718789968639612,0.5932678296751408,0.49122409544696494,0.5
0.047,TAKEOFF,-0.0013646758161485195,-0.0001547779538668692,-0.0015312304021790624,-0.9963118808088559,0.0606177941530044,0.5,0.29752233624458313,0.47009825706481934,0.004678862635046244,-0.7110197538127829,-0.45328871980316526,0.5,-0.5017421841621399,0.4477764368057251,0.0002701269113458693,-0.1341054993450792,-0.34076562970828816,0.5,-0.5018299221992493,-0.5467510223388672,0.004707277752459049,0.06284500848580532,0.24268397844568226,0.5,0.2288927286863327,-0.5359023213386536,-0.002718789968639612,0.5957178575474766,0.4907525769127667,0.5
0.067,TAKEOFF,-0.0013646758161485195,-0.0001547779538668692,-0.0015312304021790624,-0.9966086396075838,0.05813655534261471,0.5,0.29752233624458313,0.47009825706481934,0.004678862635046244,-0.7087516589857146,-0.4543376991519765,0.5,-0.5017421841621399,0.4477764368057251,0.0002701269113458693,-0.1324069808535152,-0.3389326957889605,0.5,-0.5018299221992493,-0.5467510223388672,0.004707277752459049,0.0640633611545669,0.24486577325577052,0.5,0.2288927286863327,-0.5359023213386536,-0.002718789968639612,0.5981693593986194,0.4902680663425517,0.5
0.087,TAKEOFF,-0.0013646758161485195,-0.0001547779538668692,-0.0015312304021790624,-0.9968935047258956,0.055649303330917665,0.5,0.29752233624458313,0.47009825706481934,0.004678862635046244,-0.7064741699149848,-0.4553772251199196,0.5,-0.5017421841621399,0.4477764368057251,0.0002701269113458693,-0.13071455008048616,-0.33708790615764045,0.5,-0.5025495886802673,-0.5455493927001953,0.001419090898707509,0.06529487048395849,0.24704544191796285,0.5,0.2288927286863327,-0.5359023213386536,-0.002718789968639612,0.6006229047946751,0.4897703860286795,0.5
0.107,TAKEOFF,0.0014871906023472548,0.00016031457926146686,-0.003609125502407551,-0.9971654214258798,0.05316524934980867,0.5,0.30088886618614197,0.4696740210056305,0.0015319760423153639,-0.7041957210707717,-0.4564034481644366,0.5,-0.49692240357398987,0.4466977119445801,-0.00020468505681492388,-0.1290344745531502,-0.3352380928980814,0.5,-0.5025495886802673,-0.5455493927001953,0.001419090898707509,0.06653497554861104,0.2492149124297276,0.5,0.2288927286863327,-0.5359023213386536,-0.002718789968639612,0.6030694074015872,0.4892613792829817,0.5
0.127,TAKEOFF,0.0014871906023472548,0.00016031457926146686,-0.003609125502407551,-0.9974281602551256,0.05064805411070736,0.5,0.30088886618614197,0.4696740210056305,0.0015319760423153639,-0.7018829168991564,-0.45743118374711655,0.5,-0.49692240357398987,0.4466977119445801,-0.00020468505681492388,-0.12734234413652362,-0.3333560731805239,0.5,-0.5025495886802673,-0.5455493927001953,0.001419090898707509,0.06780198560935363,0.25140580016535546,0.5,0.22809089720249176,-0.5357468128204346,-0.004297052510082722,0.6055445930998407,0.48873340265157755,0.5
0.147,TAKEOFF,0.0014871906023472548,0.00016031457926146686,-0.003609125502407551,-0.9976739985739681,0.04817251439771462,0.5,0.30088886618614197,0.4696740210056305,0.0015319760423153639,-0.6996045069421581,-0.45842997372377164,0.5,-0.49692240357398987,0.4466977119445801,-0.00020468505681492388,-0.12568837102394997,-0.3314978196207267,0.5,-0.5025495886802673,-0.5455493927001953,0.001419090898707509,0.06905818396630298,0.2535530540016807,0.5,0.22809089720249176,-0.5357468128204346,-0.004297052510082722,0.6079749394936208,0.48820222494510296,0.5
0.167,TAKEOFF,0.0014871906023472548,0.00016031457926146686,-0.003609125502407551,-0.9979069286497897,0.04570219253529633,0.5,0.30088886618614197,0.4696740210056305,0.0015319760423153639,-0.6973270705894887,-0.4594148748272861,0.5,-0.49692240357398987,0.4466977119445801,-0.00020468505681492388,-0.12404790787496417,-0.32963620011583766,0.5,-0.5025495886802673,-0.5455493927001953,0.001419090898707509,0.07032175833560744,0.25568849923333636,0.5,0.22809089720249176,-0.5357468128204346,-0.004297052510082722,0.61039633455015,0.48766038317449095,0.5
0.187,TAKEOFF,0.0014871906023472548,0.00016031457926146686,-0.003609125502407551,-0.998129564901568,0.0432080614118993,0.5,0.30088886618614197,0.4696740210056305,0.0015319760423153639,-0.6950238093174509,-0.4603973433886327,0.5,-0.49692240357398987,0.4466977119445801,-0.00020468505681492388,-0.122401777872095,-0.32774926795623105,0.5,-0.5015565156936646,-0.5454261302947998,0.001099645160138607,0.07160765531597113,0.2578371560037851,0.5,0.22809089720249176,-0.5357468128204346,-0.004297052510082722,0.6128371925929148,0.4871013939291792,0.5
