timestamp_sec,flight_state,cf1_X,cf1_Y,cf1_Z,cf1_VelX,cf1_VelY,cf1_VelZ,cf1_Roll,cf1_Pitch,cf1_Yaw,cf1_GyroX,cf1_GyroY,cf1_GyroZ,cf1_Motor1,cf1_Motor2,cf1_Motor3,cf1_Motor4,cf1_targ_x,cf1_targ_y,cf1_targ_z,cf2_X,cf2_Y,cf2_Z,cf2_VelX,cf2_VelY,cf2_VelZ,cf2_Roll,cf2_Pitch,cf2_Yaw,cf2_GyroX,cf2_GyroY,cf2_GyroZ,cf2_Motor1,cf2_Motor2,cf2_Motor3,cf2_Motor4,cf2_targ_x,cf2_targ_y,cf2_targ_z,cf3_X,cf3_Y,cf3_Z,cf3_VelX,cf3_VelY,cf3_VelZ,cf3_Roll,cf3_Pitch,cf3_Yaw,cf3_GyroX,cf3_GyroY,cf3_GyroZ,cf3_Motor1,cf3_Motor2,cf3_Motor3,cf3_Motor4,cf3_targ_x,cf3_targ_y,cf3_targ_z
0.011,TAKEOFF,0.09249507635831833,0.7642506957054138,-0.019229669123888016,0.0,0.0,0.0,-0.005535082425922155,-0.004151311703026295,-0.10931787639856339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6344342385228733,0.34309293655487405,0.5,-0.7356786131858826,-0.26679182052612305,-0.02873275801539421,0.0,0.0,0.0,0.027675412595272064,0.019372789189219475,-0.15083099901676178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7744535901331218,1.1179368483418448,0.5,0.7371538281440735,-0.8955838084220886,-0.03581525385379791,0.0,0.0,0.0,0.0013837706064805388,0.0,-0.13699328899383545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5769109486011774,0.8276765014479905,0.5
0.03,TAKEOFF,0.06258818507194519,0.7371309995651245,-0.0207078754901886,0.0,0.0,0.0,0.00830262340605259,-0.009686394594609737,-0.10931787639856339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6344559080569767,0.34305653735151226,0.5,-0.7356786131858826,-0.26679182052612305,-0.02873275801539421,0.0,0.0,0.0,0.027675412595272064,0.019372789189219475,-0.15083099901676178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7743811287535411,1.1178786846646642,0.5,0.7371538281440735,-0.8955838084220886,-0.03581525385379791,0.0,0.0,0.0,0.0013837706064805388,0.0,-0.13699328899383545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5769193656791881,0.8277036481517923,0.5
0.051,TAKEOFF,0.06258818507194519,0.7371309995651245,-0.0207078754901886,0.0,0.0,0.0,0.00830262340605259,-0.009686394594609737,-0.10931787639856339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6344774501205958,0.34302035805963094,0.5,-0.7356786131858826,-0.26679182052612305,-0.02873275801539421,0.0,0.0,0.0,0.027675412595272064,0.019372789189219475,-0.15083099901676178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7742314642936499,1.1177584927856528,0.5,0.7371538281440735,-0.8955838084220886,-0.03581525385379791,0.0,0.0,0.0,0.0013837706064805388,0.0,-0.13699328899383545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5769277335290952,0.8277306315802102,0.5
0.071,TAKEOFF,0.06258818507194519,0.7371309995651245,-0.0207078754901886,0.0,0.0,0.0,0.00830262340605259,-0.009686394594609737,-0.10931787639856339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6344988654479795,0.3429843973417969,0.5,-0.7356786131858826,-0.26679182052612305,-0.02873275801539421,0.0,0.0,0.0,0.027675412595272064,0.019372789189219475,-0.15083099901676178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7740827359344729,1.1176389746134177,0.5,0.7371538281440735,-0.8955838084220886,-0.03581525385379791,0.0,0.0,0.0,0.0013837706064805388,0.0,-0.13699328899383545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5769360524310024,0.827757452717565,0.5
0.09,TAKEOFF,0.06258818507194519,0.7371309995651245,-0.0207078754901886,0.0,0.0,0.0,0.00830262340605259,-0.009686394594609737,-0.10931787639856339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6345201547693387,0.34294865386881374,0.5,-0.7527941465377808,-0.2934033274650574,-0.12318797409534454,0.0,0.0,0.0,0.029059182852506638,0.01660524681210518,-0.15359853208065033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7739349376183153,1.117520126685322,0.5,0.7398813366889954,-0.8956341743469238,-0.03458721563220024,0.0,0.0,0.0,-0.0027675412129610777,-0.005535082425922155,-0.13699328899383545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5769443226635159,0.8277841125422165,0.5
0.11,TAKEOFF,0.06258818507194519,0.7371309995651245,-0.0207078754901886,0.0,0.0,0.0,0.00830262340605259,-0.009686394594609737,-0.10931787639856339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6345443700263803,0.34290800477951416,0.5,-0.7527941465377808,-0.2934033274650574,-0.12318797409534454,0.0,0.0,0.0,0.029059182852506638,0.01660524681210518,-0.15359853208065033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7737880633288359,1.117401945552361,0.5,0.7398813366889954,-0.8956341743469238,-0.03458721563220024,0.0,0.0,0.0,-0.0027675412129610777,-0.005535082425922155,-0.13699328899383545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5769442821476681,0.8277839819464867,0.5
0.13,TAKEOFF,0.11680856347084045,0.7313065528869629,-0.027188975363969803,0.0,0.0,0.0,0.0013837706064805388,0.005535082425922155,-0.10931787639856339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6345684431685454,0.3428676014773058,0.5,-0.7527941465377808,-0.2934033274650574,-0.12318797409534454,0.0,0.0,0.0,0.029059182852506638,0.01660524681210518,-0.15359853208065033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7736421070907431,1.1172844277791678,0.5,0.7398813366889954,-0.8956341743469238,-0.03458721563220024,0.0,0.0,0.0,-0.0027675412129610777,-0.005535082425922155,-0.13699328899383545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.576944241874945,0.8277838521343223,0.5
0.15,TAKEOFF,0.11680856347084045,0.7313065528869629,-0.027188975363969803,0.0,0.0,0.0,0.0013837706064805388,0.005535082425922155,-0.10931787639856339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6345923750103711,0.34282744246506947,0.5,-0.7527941465377808,-0.2934033274650574,-0.12318797409534454,0.0,0.0,0.0,0.029059182852506638,0.01660524681210518,-0.15359853208065033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7734930731480114,1.1171643544112408,0.5,0.7398813366889954,-0.8956341743469238,-0.03458721563220024,0.0,0.0,0.0,-0.0027675412129610777,-0.005535082425922155,-0.13699328899383545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5769442018438874,0.8277837231010219,0.5
0.17,TAKEOFF,0.11680856347084045,0.7313065528869629,-0.027188975363969803,0.0,0.0,0.0,0.0013837706064805388,0.005535082425922155,-0.10931787639856339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6346161663619666,0.3427875262549323,0.5,-0.7804498076438904,-0.2294560819864273,-0.11550721526145935,0.0,0.0,0.0,0.005535082425922155,0.0,-0.14806345105171204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7733449713730729,1.1170449543781078,0.5,0.7398813366889954,-0.8956341743469238,-0.03458721563220024,0.0,0.0,0.0,-0.0027675412129610777,-0.005535082425922155,-0.13699328899383545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5769441620530449,0.8277835948419123,0.5
0.19,TAKEOFF,0.11680856347084045,0.7313065528869629,-0.027188975363969803,0.0,0.0,0.0,0.0013837706064805388,0.005535082425922155,-0.10931787639856339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6346398180290331,0.34274785136820946,0.5,-0.7804498076438904,-0.2294560819864273,-0.11550721526145935,0.0,0.0,0.0,0.005535082425922155,0.0,-0.14806345105171204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7731977957334726,1.1169262242152245,0.5,0.7656207084655762,-0.8478983640670776,-0.014193717390298843,0.0,0.0,0.0,-0.01107016485184431,0.012453935109078884,-0.1342257410287857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5769791260684581,0.8278962563932477,0.5
