timestamp_sec,flight_state,cf1_act_x,cf1_act_y,cf1_act_z,cf1_targ_x,cf1_targ_y,cf1_targ_z,cf2_act_x,cf2_act_y,cf2_act_z,cf2_targ_x,cf2_targ_y,cf2_targ_z,cf3_act_x,cf3_act_y,cf3_act_z,cf3_targ_x,cf3_targ_y,cf3_targ_z,cf4_act_x,cf4_act_y,cf4_act_z,cf4_targ_x,cf4_targ_y,cf4_targ_z
0.01,TAKEOFF,0.39319029450416565,0.43412014842033386,0.004889188800007105,0.25,0.25,0.5,1.764675259590149,0.3635196387767792,-0.00426845857873559,1.6,0.1,0.5,1.6848714351654053,1.5375243425369263,-0.0023744390346109867,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
0.03,TAKEOFF,0.39319029450416565,0.43412014842033386,0.004889188800007105,0.25,0.25,0.5,1.764675259590149,0.3635196387767792,-0.00426845857873559,1.6,0.1,0.5,1.6848714351654053,1.5375243425369263,-0.0023744390346109867,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
0.05,TAKEOFF,0.39319029450416565,0.43412014842033386,0.004889188800007105,0.25,0.25,0.5,1.764675259590149,0.3635196387767792,-0.00426845857873559,1.6,0.1,0.5,1.6862704753875732,1.5355547666549683,-0.0019363579340279102,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
0.07,TAKEOFF,0.39319029450416565,0.43412014842033386,0.004889188800007105,0.25,0.25,0.5,1.764675259590149,0.3635196387767792,-0.00426845857873559,1.6,0.1,0.5,1.6862704753875732,1.5355547666549683,-0.0019363579340279102,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
0.09,TAKEOFF,0.39434313774108887,0.43306028842926025,0.004478197544813156,0.25,0.25,0.5,1.764675259590149,0.3635196387767792,-0.00426845857873559,1.6,0.1,0.5,1.6862704753875732,1.5355547666549683,-0.0019363579340279102,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
0.109,TAKEOFF,0.39434313774108887,0.43306028842926025,0.004478197544813156,0.25,0.25,0.5,1.7658642530441284,0.36397093534469604,-0.004584826994687319,1.6,0.1,0.5,1.6862704753875732,1.5355547666549683,-0.0019363579340279102,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
0.129,TAKEOFF,0.39434313774108887,0.43306028842926025,0.004478197544813156,0.25,0.25,0.5,1.7658642530441284,0.36397093534469604,-0.004584826994687319,1.6,0.1,0.5,1.6813071966171265,1.5412427186965942,-0.001477112527936697,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
0.151,TAKEOFF,0.39434313774108887,0.43306028842926025,0.004478197544813156,0.25,0.25,0.5,1.7658642530441284,0.36397093534469604,-0.004584826994687319,1.6,0.1,0.5,1.6813071966171265,1.5412427186965942,-0.001477112527936697,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
0.17,TAKEOFF,0.39434313774108887,0.43306028842926025,0.004478197544813156,0.25,0.25,0.5,1.7658642530441284,0.36397093534469604,-0.004584826994687319,1.6,0.1,0.5,1.6813071966171265,1.5412427186965942,-0.001477112527936697,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
0.19,TAKEOFF,0.3933235704898834,0.4336269497871399,0.003474446712061763,0.25,0.25,0.5,1.7658642530441284,0.36397093534469604,-0.004584826994687319,1.6,0.1,0.5,1.6813071966171265,1.5412427186965942,-0.001477112527936697,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
0.209,TAKEOFF,0.3933235704898834,0.4336269497871399,0.003474446712061763,0.25,0.25,0.5,1.7665905952453613,0.3639441132545471,-0.005461945664137602,1.6,0.1,0.5,1.6813071966171265,1.5412427186965942,-0.001477112527936697,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
0.23,TAKEOFF,0.3933235704898834,0.4336269497871399,0.003474446712061763,0.25,0.25,0.5,1.7665905952453613,0.3639441132545471,-0.005461945664137602,1.6,0.1,0.5,1.6813071966171265,1.5412427186965942,-0.001477112527936697,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
0.25,TAKEOFF,0.3933235704898834,0.4336269497871399,0.003474446712061763,0.25,0.25,0.5,1.7665905952453613,0.3639441132545471,-0.005461945664137602,1.6,0.1,0.5,1.6813071966171265,1.5412427186965942,-0.001477112527936697,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
0.27,TAKEOFF,0.3933235704898834,0.4336269497871399,0.003474446712061763,0.25,0.25,0.5,1.7665905952453613,0.3639441132545471,-0.005461945664137602,1.6,0.1,0.5,1.6810709238052368,1.5412050485610962,-0.003080199472606182,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
0.29,TAKEOFF,0.392069011926651,0.4356392025947571,0.002110362285748124,0.25,0.25,0.5,1.7665905952453613,0.3639441132545471,-0.005461945664137602,1.6,0.1,0.5,1.6810709238052368,1.5412050485610962,-0.003080199472606182,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
0.309,TAKEOFF,0.392069011926651,0.4356392025947571,0.002110362285748124,0.25,0.25,0.5,1.7666727304458618,0.3643495738506317,-0.006231476087123156,1.6,0.1,0.5,1.6810709238052368,1.5412050485610962,-0.003080199472606182,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
0.329,TAKEOFF,0.392069011926651,0.4356392025947571,0.002110362285748124,0.25,0.25,0.5,1.7666727304458618,0.3643495738506317,-0.006231476087123156,1.6,0.1,0.5,1.6807297468185425,1.5409977436065674,-0.004884164314717054,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
0.351,TAKEOFF,0.392069011926651,0.4356392025947571,0.002110362285748124,0.25,0.25,0.5,1.7666727304458618,0.3643495738506317,-0.006231476087123156,1.6,0.1,0.5,1.6807297468185425,1.5409977436065674,-0.004884164314717054,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
