id,type,group,name
0,1,activeMarker,btSns
1,1,activeMarker,i2cOk
2,1,motion,motion
3,5,motion,deltaX
4,5,motion,deltaY
5,2,motion,shutter
6,1,motion,maxRaw
7,1,motion,minRaw
8,1,motion,Rawsum
9,1,motion,outlierCount
10,1,motion,squal
11,7,motion,std
12,7,ring,fadeTime
13,1,deckStatus,bcLighthouse4
14,1,deckStatus,bcLoco
15,1,loco,mode
16,7,loco,spiWr
17,7,loco,spiRe
18,2,ranging,state
19,7,ranging,distance0
20,7,ranging,distance1
21,7,ranging,distance2
22,7,ranging,distance3
23,7,ranging,distance4
24,7,ranging,distance5
25,7,ranging,distance6
26,7,ranging,distance7
27,7,ranging,pressure0
28,7,ranging,pressure1
29,7,ranging,pressure2
30,7,ranging,pressure3
31,7,ranging,pressure4
32,7,ranging,pressure5
33,7,ranging,pressure6
34,7,ranging,pressure7
35,7,tdoa2,d7-0
36,7,tdoa2,d0-1
37,7,tdoa2,d1-2
38,7,tdoa2,d2-3
39,7,tdoa2,d3-4
40,7,tdoa2,d4-5
41,7,tdoa2,d5-6
42,7,tdoa2,d6-7
43,7,tdoa2,cc0
44,7,tdoa2,cc1
45,7,tdoa2,cc2
46,7,tdoa2,cc3
47,7,tdoa2,cc4
48,7,tdoa2,cc5
49,7,tdoa2,cc6
50,7,tdoa2,cc7
51,2,tdoa2,dist7-0
52,2,tdoa2,dist0-1
53,2,tdoa2,dist1-2
54,2,tdoa2,dist2-3
55,2,tdoa2,dist3-4
56,2,tdoa2,dist4-5
57,2,tdoa2,dist5-6
58,2,tdoa2,dist6-7
59,1,twr,rangingSuccessRate0
60,1,twr,rangingPerSec0
61,1,twr,rangingSuccessRate1
62,1,twr,rangingPerSec1
63,1,twr,rangingSuccessRate2
64,1,twr,rangingPerSec2
65,1,twr,rangingSuccessRate3
66,1,twr,rangingPerSec3
67,1,twr,rangingSuccessRate4
68,1,twr,rangingPerSec4
69,1,twr,rangingSuccessRate5
70,1,twr,rangingPerSec5
71,1,twr,rangingSuccessRate6
72,1,twr,rangingPerSec6
73,1,twr,rangingSuccessRate7
74,1,twr,rangingPerSec7
75,2,oa,front
76,2,oa,back
77,2,oa,up
78,2,oa,left
79,2,oa,right
80,7,usd,spiWrBps
81,7,usd,spiReBps
82,7,usd,fatWrBps
83,2,rpm,m1
84,2,rpm,m2
85,2,rpm,m3
86,2,rpm,m4
87,1,colorLedBot,deckTemp
88,1,colorLedBot,throttlePct
89,2,colorLedBot,ledCurR
90,2,colorLedBot,ledCurG
91,2,colorLedBot,ledCurB
92,2,colorLedBot,ledCurW
93,1,colorLedTop,deckTemp
94,1,colorLedTop,throttlePct
95,2,colorLedTop,ledCurR
96,2,colorLedTop,ledCurG
97,2,colorLedTop,ledCurB
98,2,colorLedTop,ledCurW
99,2,motor,m1
100,2,motor,m2
101,2,motor,m3
102,2,motor,m4
103,6,motor,m1req
104,6,motor,m2req
105,6,motor,m3req
106,6,motor,m4req
107,7,pm,vbat
108,2,pm,vbatMV
109,7,pm,extVbat
110,2,pm,extVbatMV
111,7,pm,extCurr
112,7,pm,chargeCurrent
113,4,pm,state
114,1,pm,batteryLevel
115,1,radio,rssi
116,1,radio,isConnected
117,2,radio,numRxBc
118,2,radio,numRxUc
119,5,gyro,xRaw
120,5,gyro,yRaw
121,5,gyro,zRaw
122,7,gyro,xVariance
123,7,gyro,yVariance
124,7,gyro,zVariance
125,7,gyro,x
126,7,gyro,y
127,7,gyro,z
128,3,colAv,latency
129,7,ext_pos,X
130,7,ext_pos,Y
131,7,ext_pos,Z
132,7,locSrv,x
133,7,locSrv,y
134,7,locSrv,z
135,7,locSrv,qx
136,7,locSrv,qy
137,7,locSrv,qz
138,7,locSrv,qw
139,2,locSrvZ,tick
140,2,crtp,rxRate
141,2,crtp,txRate
142,7,extrx,thrust
143,7,extrx,roll
144,7,extrx,pitch
145,7,extrx,rollRate
146,7,extrx,pitchRate
147,7,extrx,yawRate
148,7,extrx,zVel
149,1,extrx,AltHold
150,1,extrx,Arm
151,2,extrx_raw,ch0
152,2,extrx_raw,ch1
153,2,extrx_raw,ch2
154,2,extrx_raw,ch3
155,2,extrx_raw,ch4
156,2,extrx_raw,ch5
157,2,extrx_raw,ch6
158,2,extrx_raw,ch7
159,7,health,motorVarXM1
160,7,health,motorVarYM1
161,7,health,motorVarXM2
162,7,health,motorVarYM2
163,7,health,motorVarXM3
164,7,health,motorVarYM3
165,7,health,motorVarXM4
166,7,health,motorVarYM4
167,1,health,motorPass
168,7,health,batterySag
169,1,health,batteryPass
170,2,health,motorTestCount
171,3,memTst,errCntW
172,7,powerDist,m1Health
173,7,powerDist,m2Health
174,7,powerDist,m3Health
175,7,powerDist,m4Health
176,2,range,front
177,2,range,back
178,2,range,up
179,2,range,left
180,2,range,right
181,2,range,zrange
182,7,sensfusion6,qw
183,7,sensfusion6,qx
184,7,sensfusion6,qy
185,7,sensfusion6,qz
186,7,sensfusion6,gravityX
187,7,sensfusion6,gravityY
188,7,sensfusion6,gravityZ
189,7,sensfusion6,accZbase
190,1,sensfusion6,isInit
191,1,sensfusion6,isCalibrated
192,7,acc,x
193,7,acc,y
194,7,acc,z
195,7,baro,asl
196,7,baro,temp
197,7,baro,pressure
198,5,controller,ctr_yaw
199,7,controller,cmd_thrust
200,7,controller,cmd_roll
201,7,controller,cmd_pitch
202,7,controller,cmd_yaw
203,7,controller,r_roll
204,7,controller,r_pitch
205,7,controller,r_yaw
