timestamp_sec,flight_state,actual_x,actual_y,actual_z,target_x,target_y,target_z
0.006,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.02987588818555998,0.49910663320088616,0.8
0.025,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.057777608397133494,0.49665052901200807,0.8
0.045,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.061737939638358594,0.49617378690254327,0.8
0.065,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.06570960979446973,0.4956634414405187,0.8
0.085,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.06968254277266651,0.49512053404472683,0.8
0.105,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.07363401513839918,0.49454831090056106,0.8
0.125,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.07759591319729715,0.49394217703601456,0.8
0.145,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.08154078165607091,0.49330629524355046,0.8
0.165,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.08548250968018702,0.4926385495865876,0.8
0.185,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.08942238505259921,0.49193865171533807,0.8
0.205,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.0933453837548885,0.49120936405126947,0.8
0.225,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.0973508366491943,0.4904312536979081,0.8
0.245,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.10118716606456753,0.48965412019487964,0.8
0.265,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.10510461191544711,0.4888282117002897,0.8
0.285,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.10901117733060753,0.48797188773226974,0.8
0.305,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.11291415940145914,0.48708355813624205,0.8
0.325,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.11680424840776181,0.48616537058278625,0.8
0.345,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.12069233352287752,0.48521475722488333,0.8
0.365,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.12457046760817474,0.4842336198570693,0.8
0.385,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.12844035140910418,0.4832215600838872,0.8
0.405,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.13230302654169382,0.4821782960357173,0.8
0.425,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.13618329028558873,0.48109677970964543,0.8
0.445,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.14000738325098144,0.4799978464901825,0.8
0.465,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.14383530597923358,0.47886470401759645,0.8
0.485,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.14763360420934563,0.47770735697512373,0.8
0.505,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.1514560839715632,0.47650923876457923,0.8
0.525,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.1552847516069918,0.47527533695570073,0.8
0.545,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.15909084657150646,0.4740148758606225,0.8
0.565,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.16286746156884258,0.4727305680428563,0.8
0.585,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.1666550200067785,0.47140863834526864,0.8
0.605,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.1704189847437017,0.4700610275686828,0.8
0.625,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.1741781774150069,0.46868108828113214,0.8
0.645,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.17791795368741545,0.46727422543478975,0.8
0.665,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.1816416588478899,0.4658393583318039,0.8
0.685,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.18536535221233866,0.46437020382362565,0.8
0.705,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.18907897402658685,0.4628705451646856,0.8
0.725,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.19277615285479216,0.4613429905076112,0.8
0.745,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.19646050970469564,0.45978611128063795,0.8
0.765,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.2001328624373281,0.4581995606421306,0.8
0.785,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.20378635148649912,0.45658638059826206,0.8
0.805,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.207435255708654,0.45494023199656164,0.8
0.825,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.21116284600077231,0.4532220785319865,0.8
0.845,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.2146668457992059,0.4515729678740967,0.8
0.865,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.21827333337709492,0.4498408073268271,0.8
0.885,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.22187678461723614,0.4480744273532207,0.8
0.905,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.2254640699272938,0.4462801285872141,0.8
0.925,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.229021968190095,0.444464777104255,0.8
0.945,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.23256812144396322,0.4426195532147512,0.8
0.965,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.23610815167277904,0.4407413535325043,0.8
0.985,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.23962414246924632,0.4388396863843086,0.8
1.005,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.2431246928993072,0.43691004074364964,0.8
1.026,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.24662115381890448,0.43494598111608324,0.8
1.045,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.25049212430782286,0.43272820067538265,0.8
1.065,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.2535237188284201,0.43095907461313326,0.8
1.086,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.25696246147197954,0.4289175834519511,0.8
1.105,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.2603890810633699,0.42684602195987936,0.8
1.125,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.26379162896890823,0.4247516644887102,0.8
1.145,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.26717616369865094,0.4226309235624763,0.8
1.165,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.2708025668756831,0.42031651142150145,0.8
1.185,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.2739034865142206,0.4183023787588999,0.8
1.205,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.27724066530576685,0.4160980815875216,0.8
1.225,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.28056843347301086,0.413861515652882,0.8
1.245,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.283868817361508,0.4116047795273748,0.8
1.265,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.287173261272369,0.40930614216035377,0.8
1.285,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.29043630928622594,0.4069972361677604,0.8
1.305,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.29368110305262296,0.40466209324545666,0.8
1.325,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.2969121104798602,0.4022974007502351,0.8
1.345,TAKEOFF,-0.07896670699119568,-0.4900706112384796,0.1928073614835739,-0.30012018840174387,0.399909830478949,0.8
