timestamp_sec,flight_state,cf1_act_x,cf1_act_y,cf1_act_z,cf1_targ_x,cf1_targ_y,cf1_targ_z,cf2_act_x,cf2_act_y,cf2_act_z,cf2_targ_x,cf2_targ_y,cf2_targ_z,cf3_act_x,cf3_act_y,cf3_act_z,cf3_targ_x,cf3_targ_y,cf3_targ_z,cf4_act_x,cf4_act_y,cf4_act_z,cf4_targ_x,cf4_targ_y,cf4_targ_z,Z11_estimation_norm
0.007,TAKEOFF,0.15968093276023865,0.16702815890312195,0.0032330157700926065,0.7477350616600801,0.4492451791810607,0.5,1.7639620304107666,0.3883368670940399,0.0016802221070975065,2.0010468175445144,0.28931378900588334,0.5,1.7786105871200562,1.7811713218688965,0.0014644121984019876,1.8299180977385996,1.6327378745878318,0.5,0.4113140404224396,1.7836658954620361,0.002913527889177203,0.7467589880491824,1.6380131386442631,0.5,0.539511337704665
0.027,TAKEOFF,0.16273899376392365,0.16776184737682343,0.00508646946400404,0.751908906604901,0.45169847280729264,0.5,1.76183021068573,0.38840216398239136,0.001946131233125925,2.0039686788858075,0.29217443290155193,0.5,1.7786105871200562,1.7811713218688965,0.0014644121984019876,1.8318410366255913,1.6332151342598626,0.5,0.4113140404224396,1.7836658954620361,0.002913527889177203,0.750920233067896,1.6386023168192374,0.5,0.5393966006925281
0.047,TAKEOFF,0.16273899376392365,0.16776184737682343,0.00508646946400404,0.7560440918245445,0.45414830258949423,0.5,1.76183021068573,0.38840216398239136,0.001946131233125925,2.0068439618826623,0.2950306594116646,0.5,1.7786105871200562,1.7811713218688965,0.0014644121984019876,1.8337374718225685,1.6336936663973691,0.5,0.40954944491386414,1.7851383686065674,0.001940675312653184,0.7550427337377982,1.639193178583473,0.5,0.5392806516463396
0.067,TAKEOFF,0.16273899376392365,0.16776184737682343,0.00508646946400404,0.7601411625200867,0.45659466644230773,0.5,1.76183021068573,0.38840216398239136,0.001946131233125925,2.0096733643624263,0.2978824441814833,0.5,1.7784568071365356,1.7814151048660278,0.0010811598040163517,1.8356077861517452,1.6341734717129786,0.5,0.40954944491386414,1.7851383686065674,0.001940675312653184,0.7591270306779321,1.6397857011819612,0.5,0.5391635140294636
0.087,TAKEOFF,0.16273899376392365,0.16776184737682343,0.00508646946400404,0.7642006554596246,0.4590375624169812,0.5,1.76183021068573,0.38840216398239136,0.001946131233125925,2.012457573777782,0.3007297636595801,0.5,1.7784568071365356,1.7814151048660278,0.0010811598040163517,1.837452357093594,1.6346545508257877,0.5,0.40954944491386414,1.7851383686065674,0.001940675312653184,0.7631736564007676,1.6403798622326253,0.5,0.5390452110233191
0.107,TAKEOFF,0.16273899376392365,0.16776184737682343,0.00508646946400404,0.7682230991172481,0.4614769887065315,0.5,1.76183021068573,0.38840216398239136,0.001946131233125925,2.015197267355457,0.3035725950881433,0.5,1.7784568071365356,1.7814151048660278,0.0010811598040163517,1.8392715568621705,1.635136904256436,0.5,0.40954944491386414,1.7851383686065674,0.001940675312653184,0.7671831354478861,1.6409756397202242,0.5,0.5389257655146487
0.127,TAKEOFF,0.16358672082424164,0.16619087755680084,0.004373881965875626,0.7722090138102935,0.4639129436503209,0.5,1.7609119415283203,0.389064222574234,0.0038841364439576864,2.0178931122432155,0.30641091649369784,0.5,1.7784568071365356,1.7814151048660278,0.0010811598040163517,1.8410657524783356,1.635620532422927,0.5,0.40954944491386414,1.7851383686065674,0.001940675312653184,0.7711559845227652,1.64157301199013,0.5,0.5388052000864927
0.147,TAKEOFF,0.16358672082424164,0.16619087755680084,0.004373881965875626,0.7761589118348131,0.46634542573806387,0.5,1.7609119415283203,0.389064222574234,0.0038841364439576864,2.020545765655144,0.3092447066781686,0.5,1.7784568071365356,1.7814151048660278,0.0010811598040163517,1.8428353058410114,1.6361054356371525,0.5,0.4112665355205536,1.7856489419937134,0.003934653475880623,0.7750927126207169,1.6421719577420035,0.5,0.5386835370123351
0.167,TAKEOFF,0.16358672082424164,0.16619087755680084,0.004373881965875626,0.7800732975992029,0.46877443361328347,0.5,1.7609119415283203,0.389064222574234,0.0038841364439576864,2.0231558750152367,0.31207394521022386,0.5,1.7786228656768799,1.7816630601882935,-2.7163041522726417e-06,1.844580573796612,1.6365916141020802,0.5,0.4112665355205536,1.7856489419937134,0.003934653475880623,0.7789938211560283,1.642772456023383,0.5,0.5385607982529351
0.187,TAKEOFF,0.16358672082424164,0.16619087755680084,0.004373881965875626,0.7839526677559365,0.47119996607623515,0.5,1.7609119415283203,0.389064222574234,0.0038841364439576864,2.0257240780992816,0.31489861241683836,0.5,1.7786228656768799,1.7816630601882935,-2.7163041522726417e-06,1.8463019082067715,1.637079067909556,0.5,0.4112665355205536,1.7856489419937134,0.003934653475880623,0.7828598040863659,1.6433744862232076,0.5,0.5384370054554044
0.207,TAKEOFF,0.16358672082424164,0.16619087755680084,0.004373881965875626,0.7877975113313628,0.4736220220863194,0.5,1.7609119415283203,0.389064222574234,0.0038841364439576864,2.028251003175056,0.3177186893750232,0.5,1.7786228656768799,1.7816630601882935,-2.7163041522726417e-06,1.8479996560144856,1.6375677970386824,0.5,0.4112665355205536,1.7856489419937134,0.003934653475880623,0.7866911480344982,1.643978028065294,0.5,0.5383121799541322
0.227,TAKEOFF,0.16327781975269318,0.16948409378528595,0.005076757166534662,0.7916083098535255,0.4760406007640035,0.5,1.7608108520507812,0.3890526592731476,0.0039385221898555756,2.0307372691408365,0.32053415790367223,0.5,1.7786228656768799,1.7816630601882935,-2.7163041522726417e-06,1.8496741593087807,1.6380578013547322,0.5,0.4112665355205536,1.7856489419937134,0.003934653475880623,0.7904883324074,1.6445830616017834,0.5,0.5381863427732027
0.247,TAKEOFF,0.16327781975269318,0.16948409378528595,0.005076757166534662,0.7953855374779751,0.4784557013922738,0.5,1.7608108520507812,0.3890526592731476,0.0039385221898555756,2.033183485662221,0.3233450005554827,0.5,1.7786228656768799,1.7816630601882935,-2.7163041522726417e-06,1.8513257553880098,1.6385490806085563,0.5,0.4102483093738556,1.7826802730560303,0.0027594640851020813,0.7942518295127977,1.6451895672065726,0.5,0.5380595146299878
0.267,TAKEOFF,0.16327781975269318,0.16948409378528595,0.005076757166534662,0.7991296611115463,0.48086732341764016,0.5,1.7608108520507812,0.3890526592731476,0.0039385221898555756,2.0355902533072716,0.3261512006089084,0.5,1.7789651155471802,1.7813365459442139,-0.00021221803035587072,1.8529547768218724,1.6390416344364491,0.5,0.4102483093738556,1.7826802730560303,0.0027594640851020813,0.7979821046732207,1.64579752556875,0.5,0.5379317159396393
0.287,TAKEOFF,0.16327781975269318,0.16948409378528595,0.005076757166534662,0.8028411405340798,0.48327546645071556,0.5,1.7608108520507812,0.3890526592731476,0.0039385221898555756,2.03795816367998,0.32895274206011166,0.5,1.7789651155471802,1.7813365459442139,-0.00021221803035587072,1.8545615515122449,1.639535462360433,0.5,0.4102483093738556,1.7826802730560303,0.0027594640851020813,0.8016796163376215,1.6464069176860463,0.5,0.5378029668202364
0.307,TAKEOFF,0.16327781975269318,0.16948409378528595,0.005076757166534662,0.806520428518076,0.4856801302663921,0.5,1.7608108520507812,0.3890526592731476,0.0039385221898555756,2.0402877995520567,0.3317496096148829,0.5,1.7789651155471802,1.7813365459442139,-0.00021221803035587072,1.856146402752907,1.6400305637889274,0.5,0.4102483093738556,1.7826802730560303,0.0027594640851020813,0.8053448161906285,1.6470177248583162,0.5,0.5376732870983789
0.327,TAKEOFF,0.1639305204153061,0.17574802041053772,0.00522854458540678,0.8101679709462672,0.4880813148036373,0.5,1.7645591497421265,0.38805171847343445,0.0013970821164548397,2.042579734993052,0.33454178868050044,0.5,1.7789651155471802,1.7813365459442139,-0.00021221803035587072,1.8577096492882363,1.6405269380177672,0.5,0.4102483093738556,1.7826802730560303,0.0027594640851020813,0.8089781492594965,1.647629928681064,0.5,0.5375426963150486
0.347,TAKEOFF,0.1639305204153061,0.17574802041053772,0.00522854458540678,0.813784206927108,0.4904790201649323,0.5,1.7645591497421265,0.38805171847343445,0.0013970821164548397,2.04483453549881,0.33732926535750696,0.5,1.7789651155471802,1.7813365459442139,-0.00021221803035587072,1.8592516053709403,1.6410245842315372,0.5,0.40887752175331116,1.7800503969192505,0.0028062716592103243,0.8125800540188194,1.6482435110390241,0.5,0.537411213731583
