timestamp_sec,flight_state,fault_type,fault_motor_health,cf1_X,cf1_Y,cf1_Z,cf1_VelX,cf1_VelY,cf1_VelZ,cf1_Roll,cf1_Pitch,cf1_Yaw,cf1_GyroX,cf1_GyroY,cf1_GyroZ,cf1_Motor1,cf1_Motor2,cf1_Motor3,cf1_Motor4,cf1_targ_x,cf1_targ_y,cf1_targ_z,cf2_X,cf2_Y,cf2_Z,cf2_VelX,cf2_VelY,cf2_VelZ,cf2_Roll,cf2_Pitch,cf2_Yaw,cf2_GyroX,cf2_GyroY,cf2_GyroZ,cf2_Motor1,cf2_Motor2,cf2_Motor3,cf2_Motor4,cf2_targ_x,cf2_targ_y,cf2_targ_z,cf3_X,cf3_Y,cf3_Z,cf3_VelX,cf3_VelY,cf3_VelZ,cf3_Roll,cf3_Pitch,cf3_Yaw,cf3_GyroX,cf3_GyroY,cf3_GyroZ,cf3_Motor1,cf3_Motor2,cf3_Motor3,cf3_Motor4,cf3_targ_x,cf3_targ_y,cf3_targ_z
0.003,TAKEOFF,incipient,1.0,0.6070210337638855,0.012325135059654713,-0.0018344544805586338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.5,-0.40282657742500305,0.5838916897773743,0.004223090596497059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3000025448675481,0.51961377298239,0.5,-0.3892747163772583,-0.5661638975143433,0.004781849216669798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29999491024331576,-0.5196181808098181,0.5
0.02,TAKEOFF,incipient,1.0,0.6070210337638855,0.012325135059654713,-0.0018344544805586338,0.008132795803248882,0.009340199641883373,0.004706892650574446,0.35682329535484314,0.3368612229824066,3.1887402534484863,-0.05811949446797371,-0.02925005555152893,-0.08580071479082108,0.0,0.0,0.0,0.0,0.6,0.0,0.5,-0.40282657742500305,0.5838916897773743,0.004223090596497059,-0.004412665963172913,0.0028507050592452288,-0.0015467907069250941,0.24416668713092804,-1.2973819971084595,0.7532000541687012,-0.03883693739771843,0.2179466187953949,-0.12797680497169495,0.0,0.0,0.0,0.0,-0.3000025448675481,0.51961377298239,0.5,-0.3892747163772583,-0.5661638975143433,0.004781849216669798,-0.01175745390355587,0.007712099701166153,-0.0005886715953238308,0.5207935571670532,-0.09794372320175171,0.7500919699668884,-0.0300873015075922,0.32409486174583435,-0.052770741283893585,0.0,0.0,0.0,0.0,-0.29999491024331576,-0.5196181808098181,0.5
0.04,TAKEOFF,incipient,1.0,0.6070210337638855,0.012325135059654713,-0.0018344544805586338,0.008132795803248882,0.009340199641883373,0.004706892650574446,0.20789951086044312,0.39312243461608887,3.258369207382202,-0.012655232101678848,-0.10567796975374222,0.013070758432149887,40626.0,37859.0,41112.0,37871.0,0.6,0.0,0.5,-0.40283098816871643,0.5856301188468933,0.0034686687868088484,0.0031920750625431538,-0.0010961286025121808,-0.007719905581325293,0.2778848707675934,-1.3612635135650635,0.7254156470298767,-0.15153768658638,-0.02999839186668396,0.21187755465507507,0.0,0.0,0.0,0.0,-0.3000025448675481,0.51961377298239,0.5,-0.3892747163772583,-0.5661638975143433,0.004781849216669798,-0.011331621557474136,0.00694024283438921,-0.0033193218987435102,0.526861846446991,-0.10341250151395798,0.7331193089485168,-0.12814961373806,0.07984016835689545,0.072358638048172,40766.0,40091.0,40252.0,39667.0,-0.29999491024331576,-0.5196181808098181,0.5
0.062,TAKEOFF,incipient,1.0,0.6070210337638855,0.012325135059654713,-0.0018344544805586338,0.02189517579972744,0.020006457343697548,-0.0015995774883776903,0.2219689041376114,0.2447933554649353,3.1999149322509766,-0.2957209646701813,0.25847095251083374,-0.48794588446617126,41188.0,38523.0,41432.0,38429.0,0.6,0.0,0.5,-0.40283098816871643,0.5856301188468933,0.0034686687868088484,0.007157530169934034,-0.003077781992033124,-0.01106247864663601,0.2941495180130005,-1.3917661905288696,0.7036522030830383,0.25714701414108276,0.12941007316112518,-1.5876810550689697,41577.0,39446.0,39885.0,40597.0,-0.3000025448675481,0.51961377298239,0.5,-0.3892747163772583,-0.5661638975143433,0.004781849216669798,-0.011231835931539536,0.007004658691585064,-0.0033163728658109903,0.6124541759490967,-0.23240746557712555,0.7751234769821167,0.025161877274513245,-0.12464110553264618,0.2597280740737915,41147.0,40827.0,40096.0,40700.0,-0.29999491024331576,-0.5196181808098181,0.5
0.08,TAKEOFF,incipient,1.0,0.6061690449714661,0.01649932749569416,-0.0008246097713708878,0.02189517579972744,0.020006457343697548,-0.0015995774883776903,0.1215595230460167,0.2774774730205536,3.2621779441833496,1.9155974388122559,1.7770886421203613,3.82287859916687,40116.0,39405.0,43910.0,39530.0,0.6,0.0,0.5,-0.40283098816871643,0.5856301188468933,0.0034686687868088484,0.00975045096129179,-0.0034551124554127455,-0.010866706259548664,0.31872498989105225,-1.328780174255371,0.6676506996154785,-1.2442203760147095,1.1250742673873901,-1.331593632698059,43511.0,39928.0,39070.0,42598.0,-0.3000025448675481,0.51961377298239,0.5,-0.38636183738708496,-0.5670246481895447,0.005141591187566519,-0.0033795484341681004,0.0021403077989816666,-0.0003571086563169956,0.5514512062072754,-0.16410067677497864,0.7603316903114319,-0.14875581860542297,-0.4363955855369568,-4.217425346374512,44607.0,41118.0,40426.0,40883.0,-0.29999491024331576,-0.5196181808098181,0.5
0.1,TAKEOFF,incipient,1.0,0.6061690449714661,0.01649932749569416,-0.0008246097713708878,0.02097235433757305,0.01953333616256714,-0.0021582446061074734,0.08565039187669754,0.23292557895183563,3.2814085483551025,-0.6434547305107117,1.5892329216003418,-1.162315845489502,42857.0,40256.0,43095.0,39567.0,0.6,0.0,0.5,-0.40283098816871643,0.5856301188468933,0.0034686687868088484,0.00938959326595068,-0.007996824570000172,-0.007434097118675709,0.3272387385368347,-1.3194352388381958,0.6371318101882935,0.7981752753257751,-2.4821560382843018,2.265669822692871,44046.0,42188.0,41086.0,41016.0,-0.3000025448675481,0.51961377298239,0.5,-0.38636183738708496,-0.5670246481895447,0.005141591187566519,-0.002191721461713314,-0.0016201450489461422,-0.0003126632946077734,0.548668622970581,-0.16717828810214996,0.7584614157676697,0.6300443410873413,-0.14844363927841187,-0.8419244289398193,42830.0,42417.0,43509.0,42564.0,-0.29999491024331576,-0.5196181808098181,0.5
0.121,TAKEOFF,incipient,1.0,0.6061690449714661,0.01649932749569416,-0.0008246097713708878,0.026528384536504745,0.02427743747830391,-0.003347390331327915,0.048351485282182693,0.24298402667045593,3.2957160472869873,3.554074764251709,6.581030368804932,5.76848840713501,44467.0,39925.0,43924.0,39347.0,0.6,0.0,0.5,-0.40283098816871643,0.5856301188468933,0.0034686687868088484,0.005980462767183781,-0.003937369212508202,0.000612429401371628,0.2815476953983307,-1.2926149368286133,0.6571637988090515,-2.9492876529693604,3.7412290573120117,-0.41993260383605957,43380.0,45383.0,42609.0,39332.0,-0.3000025448675481,0.51961377298239,0.5,-0.38636183738708496,-0.5670246481895447,0.005141591187566519,-0.002191721461713314,-0.0016201450489461422,-0.0003126632946077734,0.5454838871955872,-0.16203302145004272,0.7545943260192871,-1.0932023525238037,-1.1118857860565186,1.6250696182250977,44978.0,44312.0,42866.0,42387.0,-0.29999491024331576,-0.5196181808098181,0.5
0.141,TAKEOFF,incipient,1.0,0.6061690449714661,0.01649932749569416,-0.0008246097713708878,0.02471229061484337,0.026623491197824478,0.00257414230145514,0.05381683632731438,0.2019115686416626,3.435072183609009,9.599152565002441,7.258239269256592,-5.444169044494629,42828.0,40396.0,43740.0,42744.0,0.6,0.0,0.5,-0.4025133550167084,0.5852797627449036,0.003078602720052004,0.008098991587758064,-0.001916930079460144,0.0033851368352770805,0.25305479764938354,-1.2849609851837158,0.6667970418930054,0.7787498831748962,-0.7151604294776917,-11.61074447631836,45155.0,40329.0,41354.0,45906.0,-0.3000025448675481,0.51961377298239,0.5,-0.38636183738708496,-0.5670246481895447,0.005141591187566519,-0.0016152552561834455,-0.00347549794241786,-0.001435066806152463,0.5546666383743286,-0.16413721442222595,0.7508066892623901,1.2983466386795044,0.6645371317863464,-1.8438546657562256,44781.0,44751.0,43631.0,44261.0,-0.29999491024331576,-0.5196181808098181,0.5
0.163,TAKEOFF,incipient,1.0,0.6061690449714661,0.01649932749569416,-0.0008246097713708878,0.02471229061484337,0.026623491197824478,0.00257414230145514,0.0621478334069252,0.21098525822162628,3.150599956512451,-10.732752799987793,-7.406558990478516,-15.773656845092773,43001.0,41636.0,43735.0,42744.0,0.6,0.0,0.5,-0.4025133550167084,0.5852797627449036,0.003078602720052004,0.015892215073108673,-0.004345405846834183,0.005420064087957144,0.290865957736969,-1.3154903650283813,0.3152760863304138,5.373578071594238,-4.927489280700684,-29.19947052001953,44292.0,45463.0,39560.0,45160.0,-0.3000025448675481,0.51961377298239,0.5,-0.38636183738708496,-0.5670246481895447,0.005141591187566519,-0.004146447405219078,-0.00012856165994890034,-0.00042780055082403123,0.5726783871650696,-0.2618435323238373,0.7050583958625793,-3.0667247772216797,-2.2904465198516846,7.483536720275879,47408.0,42706.0,45784.0,43429.0,-0.29999491024331576,-0.5196181808098181,0.5
0.18,TAKEOFF,incipient,1.0,0.6093174815177917,0.020750297233462334,-0.0019401051104068756,0.009405224584043026,0.033389125019311905,-0.019808290526270866,-0.056728921830654144,0.341015100479126,3.0936150550842285,-5.048552513122559,9.737849235534668,-4.867132663726807,47078.0,46951.0,40134.0,37392.0,0.6,0.0,0.5,-0.4025133550167084,0.5852797627449036,0.003078602720052004,0.009217005223035812,0.0032412209548056126,0.009912644512951374,0.21975193917751312,-1.2068288326263428,-0.23303543031215668,-8.307671546936035,6.606823921203613,-37.4269905090332,41349.0,44642.0,42119.0,47853.0,-0.3000025448675481,0.51961377298239,0.5,-0.38575002551078796,-0.5672836899757385,0.0049522616900503635,0.011021271347999573,-0.008362236432731152,-0.003981692250818014,0.5880035161972046,-0.31565603613853455,1.0872927904129028,-0.32414042949676514,0.24053360521793365,10.209725379943848,48646.0,46093.0,42241.0,44493.0,-0.29999491024331576,-0.5196181808098181,0.5
